SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI0004-L23	13.449444	100.995555	L23-CBI0004-2B	22	130	30	33161	520	17	39050                                                       	403
LTE	CBI1366-L23	13.229238	100.960118	L23-CBI1366-3D	43	200	30	33093	520	17	39248                                                       	147
LTE	CBI0899-L23	13.096111	100.995277	L23-CBI0899-2B	22	85	30	33091	520	17	39050                                                       	32
LTE	CBI0281-L23	13.492777	101.232222	L23-CBI0281-3A	13	30	30	33033	520	17	39248                                                       	89
LTE	CBI1027-L23	13.312222	100.963333	L23-CBI1027-2B	22	110	30	33162	520	17	39050                                                       	262
LTE	CBI0501-L23	12.910566	100.929776	L23-CBI0501-1B	21	120	30	33081	520	17	38852                                                       	342
LTE	CBI0577-L23	13.175277	101.005833	L23-CBI0577-2B	22	120	30	33093	520	17	39050                                                       	218
LTE	CBI0703-L23	13.097975	101.169012	L23-CBI0703-3B	23	150	30	33092	520	17	39248                                                       	46
LTE	CBI0486-L23	13.178996	100.928999	L23-CBI0486-2D	42	0	30	33091	520	17	39050                                                       	491
LTE	CBI1178-L23	13.40631	101.041582	L23-CBI1178-3F	63	0	30	33163	520	17	39248                                                       	452
LTE	CBI0897-L23	13.429444	101.166944	L23-CBI0897-1A	11	0	30	33033	520	17	38852                                                       	152
LTE	CBI1395-L23	13.389525	100.986314	L23-CBI1395-3C	33	120	30	33161	520	17	39248                                                       	387
LTE	CBI0155-L23	12.688604	100.9822164	L23-CBI0155-3A	13	10	30	33082	520	17	39248                                                       	77
LTE	CBI1282-L23	13.10299	100.92187	L23-CBI1282-2C	32	190	30	33091	520	17	39050                                                       	282
LTE	CBI1322-L23	12.92844	100.88374	L23-CBI1322-3A	13	330	30	33081	520	17	39248                                                       	242
LTE	CBI0239-L23	13.368888	100.981666	L23-CBI0239-1C	31	120	30	33161	520	17	38852                                                       	65
LTE	CBI0176-L23	12.970833	100.906388	L23-CBI0176-3D	43	190	30	33081	520	17	39248                                                       	71
LTE	CBI0234-L23	13.454444	101.027777	L23-CBI0234-3A	13	330	30	33161	520	17	39248                                                       	46
LTE	CBI0144-L23	13.339146	100.973249	L23-CBI0144-1C	31	150	30	33162	520	17	38852                                                       	148
LTE	CBI0102-L23	13.121411	100.897726	L23-CBI0102-3D	43	120	30	33091	520	17	39248                                                       	304
LTE	CBI0034-L23	13.095277	100.963611	L23-CBI0034-1C	31	140	30	33091	520	17	38852                                                       	134
LTE	CBI0336-L23	12.878055	100.8875	L23-CBI0336-1A	11	60	30	33083	520	17	38852                                                       	49
LTE	CBI0027-L23	13.281111	101.4275	L23-CBI0027-3D	43	280	30	33121	520	17	39248                                                       	96
LTE	CBI0156-L23	12.924481	100.781917	L23-CBI0156-2C	32	150	30	33081	520	17	39050                                                       	168
LTE	CBI0292-L23	12.679722	100.929166	L23-CBI0292-1C	31	210	30	33082	520	17	38852                                                       	259
LTE	CBI0071-L23	13.441612	101.029908	L23-CBI0071-1B	21	60	30	33161	520	17	38852                                                       	210
LTE	CBI0221-L23	12.610277	100.948611	L23-CBI0221-3A	13	350	30	33082	520	17	39248                                                       	14
LTE	CBI0959-L23	13.357222	101.013888	L23-CBI0959-3A	13	20	30	33163	520	17	39248                                                       	419
LTE	CBI0451-L23	13.22323	101.4386	L23-CBI0451-1B	21	120	30	33121	520	17	38852                                                       	13
LTE	CBI0935-L23	12.9425	100.932777	L23-CBI0935-3C	33	220	30	33081	520	17	39248                                                       	295
LTE	RYG0086-L23	13.037092	101.149356	L23-RYG0086-1C	31	170	30	33092	520	17	38852                                                       	260
LTE	CBI1120-L23	13.213333	100.951666	L23-CBI1120-2C	32	210	30	33093	520	17	39050                                                       	50
LTE	CBI0360-L23	13.3350689	100.9704927	L23-CBI0360-3C	33	0	30	33162	520	17	39248                                                       	437
LTE	CBI0586-L23	13.336358	100.956928	L23-CBI0586-1C	31	200	30	33162	520	17	38852                                                       	420
LTE	CBI0404-L23	12.673055	100.903333	L23-CBI0404-3D	43	230	30	33082	520	17	39248                                                       	423
LTE	CBI0606-L23	13.335833	101.103611	L23-CBI0606-3B	23	10	30	33163	520	17	39248                                                       	42
LTE	CBI1368-L23	13.340853	100.967394	L23-CBI1368-1A	11	30	30	33162	520	17	38852                                                       	214
LTE	CBI1167-L23	13.288333	100.955555	L23-CBI1167-1B	21	50	30	33162	520	17	38852                                                       	63
LTE	CBI0450-L23	13.42237	101.22276	L23-CBI0450-3B	23	170	30	33033	520	17	39248                                                       	390
LTE	CBI0602-L23	13.128888	100.934444	L23-CBI0602-2D	42	240	30	33091	520	17	39050                                                       	179
LTE	CBI1044-L23	12.991666	100.9375	L23-CBI1044-1A	11	30	30	33083	520	17	38852                                                       	333
LTE	CBI0986-L23	13.169722	100.943055	L23-CBI0986-2B	22	180	30	33091	520	17	39050                                                       	319
LTE	CBI0143-L23	13.113888	100.925	L23-CBI0143-2D	42	250	30	33091	520	17	39050                                                       	406
LTE	CBI0908-L23	13.38307	101.24921	L23-CBI0908-2B	22	130	30	33092	520	17	39050                                                       	137
LTE	CBI0302-L23	13.036944	101.114722	L23-CBI0302-1F	61	235	30	33092	520	17	38852                                                       	151
LTE	CBI1152-L23	13.45817	101.25159	L23-CBI1152-2A	12	340	30	33033	520	17	39050                                                       	186
LTE	CBI1216-L23	13.44903	101.11808	L23-CBI1216-1A	11	330	30	33163	520	17	38852                                                       	322
LTE	CBI1270-L23	13.363415	100.976984	L23-CBI1270-2D	42	290	30	33161	520	17	39050                                                       	71
LTE	CBI1211-L23	13.02894	101.10323	L23-CBI1211-1B	21	80	30	33092	520	17	38852                                                       	224
LTE	CBI0047-L23	13.236944	101.004166	L23-CBI0047-3C	33	260	30	33093	520	17	39248                                                       	298
LTE	CBI0566-L23	13.090833	101.115277	L23-CBI0566-1B	21	100	30	33092	520	17	38852                                                       	194
LTE	CBI0016-L23	12.66504	100.900313	L23-CBI0016-3C	33	220	30	33082	520	17	39248                                                       	290
LTE	CBI0090-L23	12.690277	100.953888	L23-CBI0090-3C	33	180	30	33082	520	17	39248                                                       	104
LTE	CBI1273-L23	13.0637	101.0877	L23-CBI1273-3C	33	270	30	33092	520	17	39248                                                       	273
LTE	CBI0090-L23	12.690277	100.953888	L23-CBI0090-3B	23	100	30	33082	520	17	39248                                                       	102
LTE	CBI0422-L23	13.299746	101.158976	L23-CBI0422-1B	21	100	30	33163	520	17	38852                                                       	140
LTE	CBI0956-L23	13.42365	101.04802	L23-CBI0956-1A	11	0	30	33163	520	17	38852                                                       	243
LTE	CBI0852-L23	13.42358	101.10965	L23-CBI0852-1F	61	260	30	33163	520	17	38852                                                       	25
LTE	CBI0565-L23	13.117222	101.002777	L23-CBI0565-2D	42	210	30	33091	520	17	39050                                                       	183
LTE	CBI0512-L23	13.376944	101.027222	L23-CBI0512-1B	21	120	30	33163	520	17	38852                                                       	154
LTE	CBI1132-L23	12.93275	100.88739	L23-CBI1132-1B	21	80	30	33081	520	17	38852                                                       	375
LTE	CBI0848-L23	12.8825	100.912222	L23-CBI0848-1C	31	180	30	33083	520	17	38852                                                       	256
LTE	CBI1069-L23	13.476944	101.063333	L23-CBI1069-1C	31	230	30	33163	520	17	38852                                                       	298
LTE	CBI0292-L23	12.679722	100.929166	L23-CBI0292-1A	11	340	30	33082	520	17	38852                                                       	260
LTE	CBI1288-L23	13.11034	101.3771	L23-CBI1288-1B	21	140	30	33121	520	17	38852                                                       	272
LTE	CBI0422-L23	13.299746	101.158976	L23-CBI0422-2C	32	160	30	33163	520	17	39050                                                       	138
LTE	CBI0963-L23	13.431666	100.9875	L23-CBI0963-3C	33	270	30	33161	520	17	39248                                                       	333
LTE	CBI0134-L23	13.162777	100.938333	L23-CBI0134-1B	21	90	30	33091	520	17	38852                                                       	160
LTE	CBI0359-L23	12.936111	100.883611	L23-CBI0359-3A	13	355	30	33081	520	17	39248                                                       	175
LTE	CBI0763-L23	12.935833	100.919166	L23-CBI0763-3E	53	270	30	33081	520	17	39248                                                       	191
LTE	CBI0185-L23	12.64735	100.962744	L23-CBI0185-1B	21	180	30	33082	520	17	38852                                                       	93
LTE	CBI0756-L23	12.920277	100.889444	L23-CBI0756-1C	31	180	30	33081	520	17	38852                                                       	119
LTE	CBI0657-L23	13.090088	100.922309	L23-CBI0657-1A	11	330	30	33091	520	17	38852                                                       	30
LTE	CBI0221-L23	12.610277	100.948611	L23-CBI0221-3B	23	150	30	33082	520	17	39248                                                       	12
LTE	CBI0577-L23	13.175277	101.005833	L23-CBI0577-3A	13	340	30	33093	520	17	39248                                                       	216
LTE	CBI0713-L23	13.373763	101.340773	L23-CBI0713-1B	21	150	30	33092	520	17	38852                                                       	378
LTE	CBI0158-L23	13.400555	101.008888	L23-CBI0158-3C	33	150	30	33161	520	17	39248                                                       	313
LTE	CBI0592-L23	13.336205	100.95583	L23-CBI0592-1A	11	30	30	33162	520	17	38852                                                       	198
LTE	CBI1178-L23	13.40631	101.041582	L23-CBI1178-1E	51	0	30	33163	520	17	38852                                                       	451
LTE	CBI0259-L23	12.886666	100.879444	L23-CBI0259-2C	32	300	30	33083	520	17	39050                                                       	422
LTE	CBI0584-L23	12.925215	100.870683	L23-CBI0584-3C	33	70	30	33081	520	17	39248                                                       	405
LTE	CBI0808-L23	12.914722	100.896111	L23-CBI0808-1F	61	330	30	33081	520	17	38852                                                       	394
LTE	CBI0300-L23	12.825277	100.9175	L23-CBI0300-1D	41	210	30	33083	520	17	38852                                                       	97
LTE	CBI0301-L23	13.08	101.000277	L23-CBI0301-2A	12	10	30	33091	520	17	39050                                                       	192
LTE	CBI1230-L23	13.43841	101.103068	L23-CBI1230-3C	33	250	30	33163	520	17	39248                                                       	407
LTE	CBI0942-L23	13.089722	101.013611	L23-CBI0942-1A	11	10	30	33091	520	17	38852                                                       	36
LTE	CBI0697-L23	12.906666	100.909722	L23-CBI0697-2A	12	20	30	33081	520	17	39050                                                       	406
LTE	CBI0690-L23	12.936666	100.909166	L23-CBI0690-3A	13	20	30	33081	520	17	39248                                                       	419
LTE	CBI0602-L23	13.128888	100.934444	L23-CBI0602-1A	11	0	30	33091	520	17	38852                                                       	330
LTE	CBI0135-L23	12.921388	100.939444	L23-CBI0135-1A	11	50	30	33083	520	17	38852                                                       	345
LTE	CBI0550-L23	13.063888	101.033888	L23-CBI0550-2E	52	300	30	33092	520	17	39050                                                       	128
LTE	CBI1017-L23	12.999166	100.990277	L23-CBI1017-1D	41	290	30	33083	520	17	38852                                                       	182
LTE	CBI1301-L23	13.28421	100.93191	L23-CBI1301-3C	33	180	30	33162	520	17	39248                                                       	47
LTE	CBI0073-L23	13.414166	101.330833	L23-CBI0073-1C	31	180	30	33092	520	17	38852                                                       	317
LTE	CBI0263-L23	12.918055	100.990833	L23-CBI0263-2A	12	0	30	33083	520	17	39050                                                       	366
LTE	CBI0884-L23	13.02167	101.07833	L23-CBI0884-2A	12	10	30	33092	520	17	39050                                                       	312
LTE	CBI0738-L23	12.915555	100.903888	L23-CBI0738-1B	21	60	30	33081	520	17	38852                                                       	283
LTE	CBI0955-L23	13.40303	101.11647	L23-CBI0955-3B	23	80	30	33163	520	17	39248                                                       	52
LTE	CBI0556-L23	13.446379	101.034087	L23-CBI0556-1E	51	270	30	33161	520	17	38852                                                       	162
LTE	CBI0869-L23	13.437222	101.022777	L23-CBI0869-2B	22	90	30	33161	520	17	39050                                                       	254
LTE	CBI0696-L23	12.948888	100.914444	L23-CBI0696-1C	31	260	30	33081	520	17	38852                                                       	184
LTE	CBI0150-L23	12.963888	100.889166	L23-CBI0150-2C	32	120	30	33081	520	17	39050                                                       	279
LTE	CBI1285-L23	13.09956	100.8827	L23-CBI1285-3B	23	90	30	33091	520	17	39248                                                       	82
LTE	CBI0217-L23	13.103611	101.009166	L23-CBI0217-3B	23	40	30	33091	520	17	39248                                                       	353
LTE	CBI1053-L23	12.73028	100.91122	L23-CBI1053-3C	33	230	30	33083	520	17	39248                                                       	400
LTE	CBI0979-L23	13.435062	101.013536	L23-CBI0979-1C	31	150	30	33161	520	17	38852                                                       	235
LTE	CBI0689-L23	12.925277	100.903333	L23-CBI0689-2C	32	290	30	33081	520	17	39050                                                       	60
LTE	CBI0064-L23	13.31198	100.91395	L23-CBI0064-3I	93	250	30	33162	520	17	39248                                                       	341
LTE	CBI1369-L23	12.90542	100.89674	L23-CBI1369-1B	21	80	30	33081	520	17	38852                                                       	329
LTE	CBI0552-L23	13.443333	101.096388	L23-CBI0552-2B	22	60	30	33163	520	17	39050                                                       	172
LTE	CBI1407-L23	12.59678	100.96148	L23-CBI1407-1C	31	150	30	33082	520	17	38852                                                       	36
LTE	CBI0854-L23	13.413611	100.996388	L23-CBI0854-1D	41	270	30	33161	520	17	38852                                                       	52
LTE	CBI0423-L23	13.147222	101.006944	L23-CBI0423-1D	41	200	30	33091	520	17	38852                                                       	275
LTE	CBI1208-L23	13.36841	100.99686	L23-CBI1208-2A	12	340	30	33161	520	17	39050                                                       	199
LTE	CBI0326-L23	12.93429485	100.894864	L23-CBI0326-1A	11	0	30	33081	520	17	38852                                                       	439
