SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0329,500808,CBI0329-L23,SAVE_LAND,51,L23-CBI0329-1E,13.287206,100.925645,0,30,33162,38852,480,520,17
LTE,CBI1238,502939,CBI1238-L23,NAPA VILLA VILLAGE,23,L23-CBI1238-3B,13.39052,101.02403,90,30,33161,39248,143,520,17
LTE,CBI0954,503020,CBI0954-L23,2 KM BYPASS,33,L23-CBI0954-3C,13.40283,101.00489,140,30,33161,39248,183,520,17
LTE,RM-CBI0589/C,501103,CBI0589-L23,CHONBURI EMPLOYMENT OFFICE BESIDE NINJA MARKET_6,33,L23-CBI0589-3C,13.343145,100.950389,50,30,33162,39248,123,520,17
LTE,RM-CBI0922/C,501153,CBI0922-L23,FACULTY & DORMITORY OF NURSE ,33,L23-CBI0922-3C,13.282965,100.922468,190,30,33162,39248,82,520,17
LTE,CBI0923,501154,CBI0923-L23,FRONT OF THAMRONG BUASRI BULIDING,23,L23-CBI0923-3B,13.283259,100.925397,45,30,33162,39248,137,520,17
LTE,RM-CBI0924/A,501155,CBI0924-L23,OFFICE OF THE PRESIDENT,12,L23-CBI0924-2A,13.283237,100.925397,60,30,33162,39050,163,520,17
LTE,RM-CBI0924/F,501155,CBI0924-L23,FACULTY OF PHARMACY BUILDING,61,L23-CBI0924-1F,13.282147,100.926227,80,30,33162,38852,171,520,17
LTE,RM-CBI0925/E,501156,CBI0925-L23,COLLEGE OF COMMERCE,51,L23-CBI0925-1E,13.277902,100.922517,300,30,33162,38852,309,520,17
LTE,RM-CBI0926/E,501157,CBI0926-L23,FACULTY OF ENGINEERING ,51,L23-CBI0926-1E,13.274987,100.92506,310,30,33162,38852,170,520,17
LTE,RM-CBI0927/E,501158,CBI0927-L23,LEFT OF CENTRAL SADIUM,51,L23-CBI0927-1E,13.275518,100.928314,320,30,33162,38852,121,520,17
LTE,RM-CBI0928/D,501159,CBI0928-L23,CENTER FOR CHINESE STUDIES,42,L23-CBI0928-2D,13.27351,100.927659,40,30,33162,39050,176,520,17
LTE,RM-CBI0929/D,501160,CBI0929-L23,STAFF RESIDENCE 3,43,L23-CBI0929-3D,13.271728,100.9289,270,30,33162,39248,127,520,17
LTE,RM-CBI0930/D,501161,CBI0930-L23,STAFF RESIDENCE 5,61,L23-CBI0930-1F,13.269469,100.929214,260,30,33162,38852,264,520,17
