SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,BKK7612,503031,BKK7612H-L23,RAMKHAMHAENG32,11,L23-BKK7612-1A,13.76139,100.63788,345,30,33141,38852,201,520,17
LTE,BKK7612,503031,BKK7612H-L23,RAMKHAMHAENG32,12,L23-BKK7612-2A,13.76139,100.63788,345,30,33141,39050,201,520,17
LTE,BKK7612,503031,BKK7612H-L23,RAMKHAMHAENG32,13,L23-BKK7612-3A,13.76139,100.63788,345,30,33141,39248,201,520,17
LTE,BKK2320,503030,BKK2320H-L23,RAMKHUMKAENG30,41,L23-BKK2320-1D,13.757609,100.63357,300,30,33141,38852,421,520,17
LTE,BKK2320,503030,BKK2320H-L23,RAMKHUMKAENG30,42,L23-BKK2320-2D,13.757609,100.63357,300,30,33141,39050,421,520,17
LTE,BKK2320,503030,BKK2320H-L23,RAMKHUMKAENG30,43,L23-BKK2320-3D,13.757609,100.63357,300,30,33141,39248,421,520,17
LTE,BKKA083,311162,BKKA083-L23,SIN SETTHEE CONDO TOWN,12,L23-BKKA083-2A,13.75889,100.64428,30,30,33141,39050,168,520,17
LTE,BKKA083,311162,BKKA083-L23,SIN SETTHEE CONDO TOWN,11,L23-BKKA083-1A,13.75889,100.64428,30,30,33141,38852,168,520,17
LTE,BKKA083,311162,BKKA083-L23,SIN SETTHEE CONDO TOWN,13,L23-BKKA083-3A,13.75889,100.64428,30,30,33141,39248,168,520,17
LTE,BKKA273,313097,BKKA273-L23,METRIS RAMA9-RAMKUMHANG-SI RAT EXPRESSWAY,11,L23-BKKA273-1A,13.746509,100.607838,130,30,33141,38852,147,520,17
LTE,BKKA273,313097,BKKA273-L23,METRIS RAMA9-RAMKUMHANG-SI RAT EXPRESSWAY,12,L23-BKKA273-2A,13.746509,100.607838,130,30,33141,39050,147,520,17
LTE,BKKA273,313097,BKKA273-L23,METRIS RAMA9-RAMKUMHANG-SI RAT EXPRESSWAY,13,L23-BKKA273-3A,13.746509,100.607838,130,30,33141,39248,147,520,17
LTE,RM-BKK0797/D,311506,BKK0797D-L23,THE_MALL3_RAM,41,L23-BKK0797-1D,13.748334,100.609334,60,30,33141,38852,363,520,17
LTE,RM-BKK0797/D,311506,BKK0797D-L23,THE_MALL3_RAM,42,L23-BKK0797-2D,13.748334,100.609334,60,30,33141,39050,363,520,17
LTE,RM-BKK0797/D,311506,BKK0797D-L23,THE_MALL3_RAM,43,L23-BKK0797-3D,13.748334,100.609334,60,30,33141,39248,363,520,17
LTE,RM-BKK0797/D,307736,BKK0797-L23,THE_MALL3_RAM,53,L23-BKK0797-3E,13.748334,100.609334,150,30,33141,39248,124,520,17
LTE,RM-BKK0797/D,307736,BKK0797-L23,THE_MALL3_RAM,52,L23-BKK0797-2E,13.748334,100.609334,150,30,33141,39050,124,520,17
LTE,RM-BKK0797/D,307736,BKK0797-L23,THE_MALL3_RAM,51,L23-BKK0797-1E,13.748334,100.609334,150,30,33141,38852,124,520,17
LTE,RM-BKK1137/G,311670,BKK1137E-L23,RAMKHAMHAENG60,71,L23-BKK1137-1G,13.762234,100.649194,40,30,33141,38852,466,520,17
LTE,RM-BKK1137/G,311670,BKK1137E-L23,RAMKHAMHAENG60,72,L23-BKK1137-2G,13.762234,100.649194,40,30,33141,39050,466,520,17
