SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,BKK0112,13.743051,100.406927,L23-BKK0112-3B,23,120,30,31013,520,17,39248,40
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-1A,11,350,30,31013,520,17,38852,230
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-2A,12,350,30,31013,520,17,39050,230
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-3A,13,350,30,31013,520,17,39248,230
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-1C,31,120,30,31013,520,17,38852,228
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-2C,32,120,30,31013,520,17,39050,228
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-3C,33,120,30,31013,520,17,39248,228
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-3D,43,200,30,31013,520,17,39248,232
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-2D,42,200,30,31013,520,17,39050,232
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-1D,41,200,30,31013,520,17,38852,232
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-1E,51,290,30,31013,520,17,38852,231
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-2E,52,290,30,31013,520,17,39050,231
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-3E,53,290,30,31013,520,17,39248,231
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-3B,23,60,30,31013,520,17,39248,229
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-2B,22,60,30,31013,520,17,39050,229
LTE,BKK7422,13.73814,100.38514,L23-BKK7422-1B,21,60,30,31013,520,17,38852,229
LTE,BKK6830,13.71269,100.39891,L23-BKK6830-1E,51,260,30,31013,520,17,38852,102
LTE,BKK6830,13.71269,100.39891,L23-BKK6830-2E,52,260,30,31013,520,17,39050,102
LTE,BKK6830,13.71269,100.39891,L23-BKK6830-3E,53,260,30,31013,520,17,39248,102
LTE,RM-BKK0138/G,13.70998,100.409391,L23-BKK0138-1G,71,315,30,31013,520,17,38852,443
LTE,RM-BKK0138/G,13.70998,100.409391,L23-BKK0138-2G,72,315,30,31013,520,17,39050,443
LTE,RM-BKK0138/G,13.70998,100.409391,L23-BKK0138-3G,73,315,30,31013,520,17,39248,443
LTE,RM-BKK1732/D,13.721544,100.470353,L23-BKK1732-1D,41,300,30,31062,520,17,38852,37
LTE,RM-BKK1732/D,13.721544,100.470353,L23-BKK1732-2D,42,300,30,31062,520,17,39050,37
LTE,RM-BKK1732/D,13.721544,100.470353,L23-BKK1732-3D,43,300,30,31062,520,17,39248,37
