SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK7978	300078	BKK7978-L23	DTN	31	L23-BKK7978-1C	13.74147	100.52279	240	30	33021	520	17	38852	270
LTE	BKK3495	306734	BKK3495-L23	AT_SATHORN	22	L23-BKK3495-2B	13.72088046	100.528264	360	170	33023	520	17	39050	460
LTE	BKK3495	306734	BKK3495-L23	AT_SATHORN	32	L23-BKK3495-2C	13.72088046	100.528264	360	170	33023	520	17	39050	461
LTE	BKK7705	300166	BKK7705-L23	LANGSUAN7	32	L23-BKK7705-2C	13.73448	100.54136	180	30	33022	520	17	1	158
LTE	BKK1859	302850	BKK1859-L23	HOLIDAY_INN	11	L23-BKK1859-1A	13.722911	100.519593	360	170	33021	520	17	38852	485
LTE	BKK1471	304710	BKK1471-L23	THAI_CC	23	L23-BKK1471-3B	13.71831054	100.5203976	360	170	33021	520	17	39248	456
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	22	L23-BKK3065-2B	13.72122947	100.530208	360	170	33023	520	17	39050	494
LTE	BKK1497	305431	BKK1497-L23	SINDHORN	32	L23-BKK1497-2C	13.73578871	100.5450323	360	170	33051	520	17	39050	492
LTE	BKK1331	305730	BKK1331-L23	CP_TOWER	23	L23-BKK1331-3B	13.72776715	100.5327654	360	170	33022	520	17	39248	450
LTE	BKK1593	305737	BKK1593-L23	SATHON_THANI	21	L23-BKK1593-1B	13.72225002	100.5303533	360	170	33023	520	17	38852	436
LTE	BKK1868	305744	BKK1868-L23	STATE_TOWER	22	L23-BKK1868-2B	13.721298	100.516791	360	170	33021	520	17	1	436
LTE	BKK1592	306681	BKK1592-L23	MBK	32	L23-BKK1592-2C	13.74451697	100.529869	360	170	33113	520	17	39050	435
LTE	BKK1592	306681	BKK1592-L23	MBK	63	L23-BKK1592-3F	13.74451697	100.529869	360	170	33113	520	17	39248	438
LTE	BKK1592	306680	BKK1592B-L23	MBK	92	L23-BKK1592-2I	13.74451697	100.529869	360	170	33113	520	17	39050	441
LTE	BKCC445	308485	BKCC445-L23	CONVENT	185	L23-BKCC445-2B	13.72767	100.533782	130	30	33022	520	17	39050	48
LTE	BKK1678	308649	BKK1678-L23	THAIWAH	23	L23-BKK1678-3B	13.72407238	100.5396576	360	170	33023	520	17	39248	439
LTE	BKK0111	300045	BKK0111-L23	YAK_LUMPINI	13	L23-BKK0111-3A	13.726033	100.542648	10	30	33051	520	17	39248	130
LTE	BKK1178	300063	BKK1178-L23	WATKAEK	12	L23-BKK1178-2A	13.723756	100.523183	1	30	33021	520	17	39050	299
LTE	BKK1178	300063	BKK1178-L23	WATKAEK	42	L23-BKK1178-2D	13.723756	100.523183	270	30	33021	520	17	39050	294
LTE	BKK0094	305353	BKK0094-L23	SILOM19	12	L23-BKK0094-2A	13.7228651	100.5215087	30	30	33021	520	17	39050	430
LTE	BKK2034	300186	BKK2034-L23	SATHORN8	31	L23-BKK2034-1C	13.72344518	100.5329315	310	30	33023	520	17	38852	80
LTE	BKK4425	300157	BKK4425-L23	S&B TOWER	33	L23-BKK4425-3C	13.7213	100.52379	270	30	33023	520	17	39248	23
LTE	BKK0619	300174	BKK0619-L23	SALADANG	23	L23-BKK0619-3B	13.725297	100.538739	95	30	33023	520	17	39248	414
LTE	BKK2339	307758	BKK2339-L23	BONKAI	21	L23-BKK2339-1B	13.725593	100.550641	180	30	33051	520	17	38852	67
LTE	BKK2931	300196	BKK2931-L23	CHAN35	13	L23-BKK2931-3A	13.704122	100.520879	60	30	33132	520	17	39248	187
LTE	BKK0021	305407	BKK0021-L23	YANNAWA_PO	33	L23-BKK0021-3C	13.706171	100.53134	160	30	33132	520	17	39248	261
LTE	BKK0262	308452	BKK0262-L23	SOGO	13	L23-BKK0262-3A	13.74407615	100.5412123	350	30	33113	520	17	39248	286
LTE	BKK0262	308452	BKK0262-L23	SOGO	32	L23-BKK0262-2C	13.74407615	100.5412123	240	30	33113	520	17	39050	288
LTE	BKK2353	300323	BKK2353-L23	SATHON12	33	L23-BKK2353-3C	13.72170314	100.5266514	220	30	33023	520	17	39248	122
LTE	BKK2941	300252	BKK2941-L23	THANIYA	22	L23-BKK2941-2B	13.729619	100.534163	115	30	33022	520	17	39050	368
LTE	BKK1594	307611	BKK1594-L23	SATHON_TOWER2	13	L23-BKK1594-3A	13.72243927	100.530447	360	170	33023	520	17	39248	448
LTE	BKK7958	309759	BKK7958-L23	WITTAYU ROAD	33	L23-BKK7958-3C	13.73154	100.54539	270	30	33051	520	17	39248	206
LTE	BKK7958	309759	BKK7958-L23	WITTAYU ROAD	32	L23-BKK7958-2C	13.73154	100.54539	270	30	33051	520	17	39050	206
LTE	BKK7958	309759	BKK7958-L23	WITTAYU ROAD	31	L23-BKK7958-1C	13.73154	100.54539	270	30	33051	520	17	38852	206
LTE	BKK7958	309759	BKK7958-L23	WITTAYU ROAD	21	L23-BKK7958-1B	13.73154	100.54539	180	30	33051	520	17	38852	160
LTE	BKK7958	309759	BKK7958-L23	WITTAYU ROAD	22	L23-BKK7958-2B	13.73154	100.54539	180	30	33051	520	17	39050	160
LTE	BKK7958	309759	BKK7958-L23	WITTAYU ROAD	23	L23-BKK7958-3B	13.73154	100.54539	180	30	33051	520	17	39248	160
LTE	BKK7978	300078	BKK7978-L23	DTN	32	L23-BKK7978-2C	13.74147	100.52279	240	30	33021	520	17	39050	270
LTE	BKK7978	300078	BKK7978-L23	DTN	12	L23-BKK7978-2A	13.74147	100.52279	340	30	33021	520	17	39050	271
LTE	BKK7978	300078	BKK7978-L23	DTN	33	L23-BKK7978-3C	13.74147	100.52279	240	30	33021	520	17	39248	270
LTE	BKK7978	300078	BKK7978-L23	DTN	11	L23-BKK7978-1A	13.74147	100.52279	340	30	33021	520	17	38852	271
LTE	BKK7978	300078	BKK7978-L23	DTN	13	L23-BKK7978-3A	13.74147	100.52279	340	30	33021	520	17	39248	271
LTE	BKK7978	311743	BKK7978D-L23	DTN	22	L23-BKK7978-2B	13.74147	100.52279	110	30	33021	520	17	39050	272
LTE	BKK7978	311743	BKK7978D-L23	DTN	23	L23-BKK7978-3B	13.74147	100.52279	110	30	33021	520	17	39248	272
LTE	BKK7978	311743	BKK7978D-L23	DTN	21	L23-BKK7978-1B	13.74147	100.52279	110	30	33021	520	17	38852	272
LTE	BKK0094	311242	BKK0094E-L23	SILOM19	43	L23-BKK0094-3D	13.7228651	100.5215087	300	30	33021	520	17	39248	63
