SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LON,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0329,500808,CBI0329-L23,SAVE_LAND,51,L23-CBI0329-1E,13.287206,100.925645,0,30,33162,38852,480,520,17
LTE,CBI1238,502939,CBI1238-L23,NAPA VILLA VILLAGE,23,L23-CBI1238-3B,13.39052,101.02403,90,30,33161,39248,143,520,17
LTE,CBI1310,500947,CBI1310-L23,BAN NONG YANG HEALTH CENTER,22,L23-CBI1310-2B,13.35985,101.17305,150,30,33163,39050,282,520,17
LTE,RYG0723,502987,RYG0723-L23,"ZHONGCE RUBBER CO.,LTD",11,L23-RYG0723-1A,12.92835,101.12475,290,30,33092,38852,392,520,17
LTE,RYG0687,502308,RYG0687-L23,BAN WANGKAEW,53,L23-RYG0687-3E,12.686775,101.250231,250,30,33122,39248,119,520,17
LTE,RYG0391,502944,RYG0391-L23,SUKHUMVIT 56,62,L23-RYG0391-2F,12.69368,101.19811,310,30,33122,39050,71,520,17
LTE,CBI1313,502846,CBI1313-L23,THAI OIL THUNG SUKHLA,52,L23-CBI1313-2E,13.11158,100.91681,210,30,33091,39050,34,520,17
LTE,CBI1139,502938,CBI1139-L23,NONG KAE SOI1,62,L23-CBI1139-2F,13.33333,101.11915,210,30,33163,39050,174,520,17
LTE,CBI0954,503020,CBI0954-L23,2 KM BYPASS,33,L23-CBI0954-3C,13.40283,101.00489,140,30,33161,39248,183,520,17
LTE,RYG0713,502977,RYG0713-L23,KVIS UTILITY CENTER,42,L23-RYG0713-2D,12.98146,101.45376,320,30,33121,39050,208,520,17
LTE,CBI1314,502922,CBI1314-L23,THANYATHANEE VILLAGE,31,L23-CBI1314-1C,13.47324,101.17043,200,30,33033,38852,421,520,17
LTE,RYG0714,502978,RYG0714-L23,BJC HEAVY INDUSTRIES PUBLIC COMPANY,32,L23-RYG0714-2C,12.84101,101.07223,150,30,33083,39050,281,520,17
LTE,CBI1316,502924,CBI1316-L23,LIFE CITY PARK BOWIN,33,L23-CBI1316-3C,13.01515,101.0876,100,30,33092,39248,304,520,17
LTE,RYG0716,502980,RYG0716-L23,J FOREST 2 & OCEAN AMATA,42,L23-RYG0716-2D,12.95551,101.12896,200,30,33092,39050,203,520,17
LTE,RYG0717,502981,RYG0717-L23,TONGNOPPARAT PLACE,41,L23-RYG0717-1D,12.7136,101.0788,260,30,33082,38852,143,520,17
