SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN
LTE,BKK1979,13.80144406,100.548932,L23-BKK1979-2B,22,360,170,31003,520,17,39050
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-1G,71,0,30,31002,520,17,0
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-1H,81,0,30,31002,520,17,0
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-2G,72,0,30,31002,520,17,0
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-2H,82,0,30,31002,520,17,0
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-3G,73,0,30,31002,520,17,0
LTE,BKAC008,13.814885,100.561832,L23-BKAC008-1D,177,0,30,31002,520,17,38852
LTE,BKAC008,13.814885,100.561832,L23-BKAC008-3D,197,0,30,31002,520,17,39248
LTE,BKAC076,13.796336,100.560291,L23-BKAC076-1C,176,0,30,31003,520,17,38852
LTE,BKAC076,13.796336,100.560291,L23-BKAC076-2C,186,0,30,31003,520,17,39050
LTE,BKAC076,13.796336,100.560291,L23-BKAC076-3C,196,0,30,31003,520,17,39248
LTE,BKAC008,13.814885,100.561832,L23-BKAC008-2D,187,0,30,31002,520,17,39050
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-3H,83,0,30,31002,520,17,0
LTE,BKK0466,13.850896,100.561682,L23-BKK0466-3B,23,180,30,31073,520,17,39248
LTE,BKK0466,13.850896,100.561682,L23-BKK0466-2C,32,250,30,31073,520,17,39050
LTE,BKDC284,13.80626,100.54778,L23-BKDC284-1A,174,0,30,31001,520,17,38852
LTE,BKDC284,13.80626,100.54778,L23-BKDC284-1B,175,0,30,31001,520,17,38852
LTE,BKDC284,13.80626,100.54778,L23-BKDC284-2A,184,0,30,31001,520,17,39050
LTE,BKDC284,13.80626,100.54778,L23-BKDC284-2B,185,0,30,31001,520,17,39050
LTE,BKDC284,13.80626,100.54778,L23-BKDC284-3A,194,0,30,31001,520,17,39248
LTE,BKDC284,13.80626,100.54778,L23-BKDC284-3B,195,0,30,31001,520,17,39248
LTE,BKK3039,13.79934998,100.5603131,L23-BKK3039-1B,21,360,170,31002,520,17,38852
LTE,BKK3011,13.82233471,100.5645637,L23-BKK3011-2B,22,360,170,31002,520,17,39050
LTE,BKK1357,13.82749544,100.5646629,L23-BKK1357-2B,22,360,170,31002,520,17,39050
LTE,BKK1357,13.82749544,100.5646629,L23-BKK1357-2E,52,360,170,31002,520,17,0
LTE,BKK1357,13.82749544,100.5646629,L23-BKK1357-2H,82,360,170,31002,520,17,39050
LTE,BKK1560,13.79630989,100.5604593,L23-BKK1560-1C,31,360,170,31003,520,17,38852
LTE,BKK0279,13.80198573,100.559045,L23-BKK0279-3D,43,270,30,31002,520,17,39248
LTE,BKK0680,13.80681835,100.5596875,L23-BKK0680-3C,33,220,30,31002,520,17,39248
LTE,BKK1923,13.81362266,100.5613422,L23-BKK1923-2B,22,360,170,31002,520,17,39050
LTE,BKK1923,13.81362266,100.5613422,L23-BKK1923-3E,53,360,170,31002,520,17,39248
LTE,BKK1373,13.844521,100.564849,L23-BKK1373-2A,12,360,170,31073,520,17,39050
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-1B,21,70,30,31022,520,17,38852
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-3C,33,140,30,31022,520,17,39248
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-3D,43,200,30,31022,520,17,39248
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-2D,42,200,30,31022,520,17,39050
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-1D,41,200,30,31022,520,17,38852
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-1C,31,140,30,31022,520,17,38852
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-1A,11,0,30,31022,520,17,38852
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-2A,12,0,30,31022,520,17,39050
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-3A,13,0,30,31022,520,17,39248
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-3B,23,70,30,31022,520,17,39248
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-2B,22,70,30,31022,520,17,39050
LTE,BKK7959,13.80984,100.57546,L23-BKK7959-2C,32,140,30,31022,520,17,39050
LTE,RM-BKK0395/H,13.806761,100.570008,L23-BKK0395-2H,82,330,30,31022,520,17,39050
LTE,RM-BKK0395/H,13.806761,100.570008,L23-BKK0395-1H,81,330,30,31022,520,17,0
LTE,RM-BKK0395/G,13.807691,100.570277,L23-BKK0395-1G,71,160,30,31022,520,17,38852
LTE,RM-BKK0395/G,13.807691,100.570277,L23-BKK0395-2G,72,160,30,31022,520,17,39050
LTE,RM-BKK0395/G,13.807691,100.570277,L23-BKK0395-3G,73,160,30,31022,520,17,39248
LTE,RM-BKK0395/H,13.806761,100.570008,L23-BKK0395-3H,83,330,30,31022,520,17,39248
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-3B,23,30,30,31073,520,17,39248
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-2B,22,30,30,31073,520,17,39050
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-1B,21,30,30,31073,520,17,38852
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-1C,31,150,30,31073,520,17,38852
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-2C,32,150,30,31073,520,17,39050
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-3C,33,150,30,31073,520,17,39248
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-3D,43,230,30,31073,520,17,39248
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-2D,42,230,30,31073,520,17,39050
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-1D,41,230,30,31073,520,17,38852
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-1A,11,350,30,31073,520,17,38852
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-2A,12,350,30,31073,520,17,39050
LTE,BKK7994,13.84889,100.57227,L23-BKK7994-3A,13,350,30,31073,520,17,39248
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-3C,33,230,30,31122,520,17,39248
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-2C,32,230,30,31122,520,17,39050
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-1C,31,230,30,31122,520,17,38852
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-1D,41,320,30,31122,520,17,38852
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-2D,42,320,30,31122,520,17,39050
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-3D,43,320,30,31122,520,17,39248
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-1B,21,125,30,31122,520,17,38852
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-2B,22,125,30,31122,520,17,39050
LTE,BKK7998,13.8447,100.5722,L23-BKK7998-3B,23,125,30,31122,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-3B,23,90,30,31073,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-2B,22,90,30,31073,520,17,39050
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-1B,21,90,30,31073,520,17,38852
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-1C,31,150,30,31073,520,17,38852
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-2C,32,150,30,31073,520,17,39050
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-3C,33,150,30,31073,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-3D,43,240,30,31073,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-2D,42,240,30,31073,520,17,39050
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-1D,41,240,30,31073,520,17,38852
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-3A,13,15,30,31073,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-1A,11,15,30,31073,520,17,38852
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-2A,12,15,30,31073,520,17,39050
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-2A,12,340,30,31002,520,17,39050
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-2B,22,140,30,31002,520,17,39050
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-3B,23,140,30,31002,520,17,39248
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-1B,21,140,30,31002,520,17,38852
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-1C,31,265,30,31002,520,17,38852
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-3C,33,265,30,31002,520,17,39248
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-2C,32,265,30,31002,520,17,39050
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-1A,11,340,30,31002,520,17,38852
LTE,BKK3817,13.81232,100.55997,L23-BKK3817-3A,13,340,30,31002,520,17,39248
LTE,RM-BKK7893/A,13.81352,100.56426,L23-BKK7893-1C,31,240,30,31002,520,17,38852
LTE,RM-BKK7893/A,13.81352,100.56426,L23-BKK7893-2C,32,240,30,31002,520,17,39050
LTE,RM-BKK7893/A,13.81352,100.56426,L23-BKK7893-3C,33,240,30,31002,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-3E,53,305,30,31073,520,17,39248
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-1E,51,305,30,31073,520,17,38852
LTE,BKKA001,13.84625,100.56956,L23-BKKA001-2E,52,305,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1B,21,360,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2B,22,360,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3B,23,360,30,31073,520,17,39248
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2G,72,200,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3G,73,200,30,31073,520,17,39248
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1G,71,200,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1H,81,25,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3H,83,25,30,31073,520,17,39248
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2H,82,25,30,31073,520,17,39050
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-2C,32,360,30,31001,520,17,39050
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-1C,31,360,30,31001,520,17,38852
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-1D,41,360,30,31001,520,17,38852
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-2D,42,360,30,31001,520,17,39050
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-3D,43,360,30,31001,520,17,39248
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-3E,53,200,30,31001,520,17,39248
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-2E,52,200,30,31001,520,17,39050
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-1E,51,200,30,31001,520,17,38852
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-1F,61,25,30,31001,520,17,38852
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-2F,62,25,30,31001,520,17,39050
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-3F,63,25,30,31001,520,17,39248
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-3B,23,360,30,31001,520,17,39248
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-3C,33,360,30,31001,520,17,39248
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-1B,21,360,30,31001,520,17,38852
LTE,BKKA029,13.826508,100.549526,L23-BKKA029-2B,22,360,30,31001,520,17,39050
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-3G,73,200,30,31073,520,17,39248
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-1G,71,200,30,31073,520,17,38852
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-1H,81,25,30,31073,520,17,38852
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-3H,83,25,30,31073,520,17,39248
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-2H,82,25,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3C,33,360,30,31073,520,17,39248
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2C,32,360,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1C,31,360,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1D,41,360,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2D,42,360,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3D,43,360,30,31073,520,17,39248
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3E,53,360,30,31073,520,17,39248
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2E,52,360,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1E,51,360,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-1F,61,360,30,31073,520,17,38852
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-2F,62,360,30,31073,520,17,39050
LTE,BKKA028,13.849353,100.56184,L23-BKKA028-3F,63,360,30,31073,520,17,39248
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-2B,22,360,30,31073,520,17,39050
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-1B,21,360,30,31073,520,17,38852
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-3B,23,360,30,31073,520,17,39248
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-2G,72,200,30,31073,520,17,39050
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-1E,51,360,30,31073,520,17,38852
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-2E,52,360,30,31073,520,17,39050
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-3E,53,360,30,31073,520,17,39248
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-3F,63,360,30,31073,520,17,39248
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-2F,62,360,30,31073,520,17,39050
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-1F,61,360,30,31073,520,17,38852
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-1C,31,360,30,31073,520,17,38852
LTE,BKKA036,13.84152,100.557663,L23-BKKA036-2C,32,360,30,31073,520,17,39050
