SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,BKK2077,13.77139616,100.5805653,L23-BKK2077-1D,41,240,30,31021,520,17,38852,192
LTE,BKK2077,13.77139616,100.5805653,L23-BKK2077-2D,42,240,30,31021,520,17,39050,192
LTE,BKK2077,13.77139616,100.5805653,L23-BKK2077-3D,43,240,30,31021,520,17,39248,192
LTE,BKK0124,13.793893,100.584869,L23-BKK0124-3A,13,0,30,31022,520,17,39248,396
LTE,BKK0124,13.793893,100.584869,L23-BKK0124-1D,41,210,30,31022,520,17,38852,401
LTE,BKK0124,13.793893,100.584869,L23-BKK0124-2D,42,210,30,31022,520,17,39050,401
LTE,BKK2077,13.77139616,100.5805653,L23-BKK2077-1A,11,20,30,31021,520,17,38852,166
LTE,BKK2077,13.77139616,100.5805653,L23-BKK2077-2A,12,20,30,31021,520,17,39050,166
LTE,BKK2077,13.77139616,100.5805653,L23-BKK2077-3A,13,20,30,31021,520,17,39248,166
LTE,BKK0124,13.793893,100.584869,L23-BKK0124-3D,43,210,30,31022,520,17,39248,401
LTE,BKK0124,13.793893,100.584869,L23-BKK0124-1A,11,0,30,31022,520,17,38852,396
LTE,BKK0124,13.793893,100.584869,L23-BKK0124-2A,12,0,30,31022,520,17,39050,396
LTE,BKK4413,13.77738,100.57926,L23-BKK4413-1A,11,80,30,31021,520,17,38852,373
LTE,BKK4413,13.77738,100.57926,L23-BKK4413-2A,12,80,30,31021,520,17,39050,373
LTE,BKK4413,13.77738,100.57926,L23-BKK4413-3A,13,80,30,31021,520,17,39248,373
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-1F,61,60,30,31021,520,17,38852,22
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-2F,62,60,30,31021,520,17,39050,22
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-3F,63,60,30,31021,520,17,39248,22
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-1G,71,60,30,31021,520,17,38852,233
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-2G,72,60,30,31021,520,17,39050,233
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-3G,73,60,30,31021,520,17,39248,233
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-1H,81,230,30,31021,520,17,38852,21
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-2H,82,230,30,31021,520,17,39050,21
LTE,BKK5388,13.754825,100.572462,L23-BKK5388-3H,83,230,30,31021,520,17,39248,21
LTE,BKK4019,13.75183057,100.5725166,L23-BKK4019-1C,31,360,170,31021,520,17,38852,446
LTE,BKK4019,13.75183057,100.5725166,L23-BKK4019-1G,71,360,170,31021,520,17,38852,462
LTE,BKK4019,13.75183057,100.5725166,L23-BKK4019-2J,102,360,170,31021,520,17,39050,458
LTE,BKK4019,13.75183057,100.5725166,L23-BKK4019-3M,133,360,170,31021,520,17,39248,435
LTE,BKK4019,13.75183057,100.5725166,L23-BKK4019-1P,161,360,170,31021,520,17,38852,464
LTE,BKK1396,13.74796218,100.5685164,L23-BKK1396-1B,21,360,170,33052,520,17,38852,473
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-3B,23,170,30,31023,520,17,39248,238
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-1B,21,170,30,31023,520,17,38852,238
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-2B,22,170,30,31023,520,17,39050,238
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-2C,32,260,30,31023,520,17,39050,237
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-1C,31,260,30,31023,520,17,38852,237
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-3C,33,260,30,31023,520,17,39248,237
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-2A,12,0,30,31023,520,17,39050,50
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-1A,11,0,30,31023,520,17,38852,50
LTE,BKK7951,13.77227,100.59077,L23-BKK7951-3A,13,0,30,31023,520,17,39248,50
LTE,BKKA250,13.74329,100.59427,L23-BKKA250-3A,13,0,30,31023,520,17,39248,371
LTE,BKKA250,13.74329,100.59427,L23-BKKA250-1A,11,0,30,31023,520,17,38852,371
LTE,BKKA250,13.74329,100.59427,L23-BKKA250-2A,12,0,30,31023,520,17,39050,371
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-3C,33,140,30,31023,520,17,39248,19
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-2C,32,140,30,31023,520,17,39050,19
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-1C,31,140,30,31023,520,17,38852,19
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-1D,41,240,30,31023,520,17,38852,12
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-2D,42,240,30,31023,520,17,39050,12
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-3D,43,240,30,31023,520,17,39248,12
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-3E,53,295,30,31023,520,17,39248,13
LTE,BKK7996,13.746491,100.587703,L23-BKK7996-2E,52,295,30,31023,520,17,39050,13
