SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,SKA0625,7.1638,100.605,L23-SKA0625-2C,32,140,30,36254,520,17,39050,265
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-3C,196,180,30,36254,520,17,39248,78
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-1A,174,25,30,36254,520,17,38852,393
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-2A,184,25,30,36254,520,17,39050,393
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-3A,194,25,30,36254,520,17,39248,393
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-1B,175,120,30,36254,520,17,38852,398
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-2B,185,120,30,36254,520,17,39050,398
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-3B,195,120,30,36254,520,17,39248,398
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-1C,176,180,30,36254,520,17,38852,78
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-2C,186,180,30,36254,520,17,39050,78
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-1D,177,250,30,36254,520,17,38852,79
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-2D,187,250,30,36254,520,17,39050,79
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-3D,197,250,30,36254,520,17,39248,79
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-1E,178,325,30,36254,520,17,38852,395
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-2E,188,325,30,36254,520,17,39050,395
LTE,SKA0647,7.13174,100.63049,L23-SKA0647-3E,198,325,30,36254,520,17,39248,395
LTE,SKA0625,7.1638,100.605,L23-SKA0625-1A,11,345,30,36254,520,17,38852,264
LTE,SKA0625,7.1638,100.605,L23-SKA0625-2A,12,345,30,36254,520,17,39050,264
LTE,SKA0625,7.1638,100.605,L23-SKA0625-3A,13,345,30,36254,520,17,39248,264
LTE,SKA0625,7.1638,100.605,L23-SKA0625-1B,21,55,30,36254,520,17,38852,329
LTE,SKA0625,7.1638,100.605,L23-SKA0625-2B,22,55,30,36254,520,17,39050,329
LTE,SKA0625,7.1638,100.605,L23-SKA0625-3B,23,55,30,36254,520,17,39248,329
LTE,SKA0625,7.1638,100.605,L23-SKA0625-1C,31,140,30,36254,520,17,38852,265
LTE,SKA0625,7.1638,100.605,L23-SKA0625-3C,33,140,30,36254,520,17,39248,265
LTE,SKA0625,7.1638,100.605,L23-SKA0625-1D,41,170,30,36254,520,17,38852,330
LTE,SKA0625,7.1638,100.605,L23-SKA0625-2D,42,170,30,36254,520,17,39050,330
LTE,SKA0625,7.1638,100.605,L23-SKA0625-3D,43,170,30,36254,520,17,39248,330
LTE,SKA0625,7.1638,100.605,L23-SKA0625-1E,51,200,30,36254,520,17,38852,199
LTE,SKA0625,7.1638,100.605,L23-SKA0625-2E,52,200,30,36254,520,17,39050,199
LTE,SKA0625,7.1638,100.605,L23-SKA0625-3E,53,200,30,36254,520,17,39248,199
LTE,SKA0238,7.178151,100.599835,L23-SKA0238-1A,11,330,30,36254,520,17,38852,333
LTE,SKA0238,7.178151,100.599835,L23-SKA0238-2A,12,330,30,36254,520,17,39050,333
LTE,SKA0238,7.178151,100.599835,L23-SKA0238-3A,13,330,30,36254,520,17,39248,333
LTE,SKA0238,7.178151,100.599835,L23-SKA0238-1B,21,0,30,36254,520,17,38852,221
