SYSTEM,SITE,LAT,LON,CELL_NAME,CID,ENBID,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0329-L23,13.287206,100.925645,L23-CBI0329-1E,51,500808,0,30,33162,38852,480,520,17
LTE,CBI1238-L23,13.39052,101.02403,L23-CBI1238-3B,23,502939,90,30,33161,39248,143,520,17
LTE,CBI1310-L23,13.35985,101.17305,L23-CBI1310-2B,22,500947,150,30,33163,39050,282,520,17
LTE,CBI1313-L23,13.11158,100.91681,L23-CBI1313-2E,52,502846,210,30,33091,39050,34,520,17
LTE,CBI1139-L23,13.33333,101.11915,L23-CBI1139-2F,62,502938,210,30,33163,39050,174,520,17
LTE,CBI0954-L23,13.40283,101.00489,L23-CBI0954-3C,33,503020,140,30,33161,39248,183,520,17
LTE,CBI1314-L23,13.47324,101.17043,L23-CBI1314-1C,31,502922,200,30,33033,38852,421,520,17
LTE,CBI1316-L23,13.01515,101.0876,L23-CBI1316-3C,33,502924,100,30,33092,39248,304,520,17
LTE,CBI0836-L23,12.98087,100.9406,L23-CBI0836-1A,11,502605,310,30,33083,38852,280,520,17
LTE,CBI1116-L23,13.1153,100.99053,L23-CBI1116-3B,23,502937,0,30,33091,39248,119,520,17
LTE,CBI1116-L23,13.1153,100.99053,L23-CBI1116-3G,73,502937,250,30,33091,39248,128,520,17
LTE,CBI0533-L23,12.945352,100.888907,L23-CBI0533-3A,13,501097,5,30,33081,39248,288,520,17
LTE,CBI0584-L23,12.925215,100.870683,L23-CBI0584-1C,31,501102,70,30,33081,38852,405,520,17
LTE,CBI0589-L23,13.343145,100.950389,L23-CBI0589-3C,33,501103,50,30,33162,39248,123,520,17
LTE,CBI0922-L23,13.282965,100.922468,L23-CBI0922-3C,33,501153,190,30,33162,39248,82,520,17
LTE,CBI0923-L23,13.283259,100.925397,L23-CBI0923-3B,23,501154,45,30,33162,39248,137,520,17
LTE,CBI0924-L23,13.283237,100.925397,L23-CBI0924-2A,12,501155,60,30,33162,39050,163,520,17
LTE,CBI0924-L23,13.282147,100.926227,L23-CBI0924-1F,61,501155,80,30,33162,38852,171,520,17
LTE,CBI0925-L23,13.277902,100.922517,L23-CBI0925-1E,51,501156,300,30,33162,38852,309,520,17
LTE,CBI0926-L23,13.274987,100.92506,L23-CBI0926-1E,51,501157,310,30,33162,38852,170,520,17
LTE,CBI0927-L23,13.275518,100.928314,L23-CBI0927-1E,51,501158,320,30,33162,38852,121,520,17
LTE,CBI0928-L23,13.27351,100.927659,L23-CBI0928-2D,42,501159,40,30,33162,39050,176,520,17
LTE,CBI0929-L23,13.271728,100.9289,L23-CBI0929-3D,43,501160,270,30,33162,39248,127,520,17
LTE,CBI0930-L23,13.269469,100.929214,L23-CBI0930-1F,61,501161,260,30,33162,38852,264,520,17
LTE,CBI0125-L23,12.767424,100.933133,L23-CBI0125-3G,73,500946,170,30,33083,39248,324,520,17
LTE,CBI0214-L23,13.368417,101.274531,L23-CBI0214-1F,61,501057,260,30,33092,38852,14,520,17
LTE,CBI0352-L23,13.35467,100.97687,L23-CBI0352-2G,72,500810,310,30,33161,39050,100,520,17
