SYSTEM,SITE,LAT,LON,CELL_NAME,CID,DIR,ANT_BW,LAC,MCC,MNC,EUARFCN,PCI
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-2B,22,110,30,35102,520,17,39050,277
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-1B,21,110,30,35102,520,17,38852,277
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-1C,31,180,30,35102,520,17,38852,302
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-2C,32,180,30,35102,520,17,39050,302
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-3C,33,180,30,35102,520,17,39248,302
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-3D,43,290,30,35102,520,17,39248,303
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-2D,42,290,30,35102,520,17,39050,303
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-1D,41,290,30,35102,520,17,38852,303
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-2A,12,0,30,35102,520,17,39050,305
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-3A,13,0,30,35102,520,17,39248,305
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-3B,23,110,30,35102,520,17,39248,277
LTE,CMI0911,18.6197,98.89705,L23-CMI0911-1A,11,0,30,35102,520,17,38852,305
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-1A,11,320,30,35102,520,17,38852,80
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-2A,12,320,30,35102,520,17,39050,80
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-3A,13,320,30,35102,520,17,39248,80
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-3B,23,65,30,35102,520,17,39248,75
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-2B,22,65,30,35102,520,17,39050,75
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-1B,21,65,30,35102,520,17,38852,75
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-1C,31,165,30,35102,520,17,38852,77
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-2C,32,165,30,35102,520,17,39050,77
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-3C,33,165,30,35102,520,17,39248,77
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-3D,43,245,30,35102,520,17,39248,76
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-2D,42,245,30,35102,520,17,39050,76
LTE,CMI0108,18.6394615,98.8477554,L23-CMI0108-1D,41,245,30,35102,520,17,38852,76
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-1A,11,10,30,35107,520,17,38852,207
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-2A,12,10,30,35107,520,17,39050,207
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-3A,13,10,30,35107,520,17,39248,207
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-3B,23,90,30,35107,520,17,39248,209
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-2B,22,90,30,35107,520,17,39050,209
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-1B,21,90,30,35107,520,17,38852,209
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-1C,31,200,30,35107,520,17,38852,208
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-2C,32,200,30,35107,520,17,39050,208
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-3C,33,200,30,35107,520,17,39248,208
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-3D,43,290,30,35107,520,17,39248,212
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-2D,42,290,30,35107,520,17,39050,212
LTE,CMI0238,18.654997,98.886955,L23-CMI0238-1D,41,290,30,35107,520,17,38852,212
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-1A,11,330,30,35107,520,17,38852,414
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-2A,12,330,30,35107,520,17,39050,414
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-3A,13,330,30,35107,520,17,39248,414
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-3B,23,55,30,35107,520,17,39248,416
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-2B,22,55,30,35107,520,17,39050,416
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-1B,21,55,30,35107,520,17,38852,416
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-1C,31,145,30,35107,520,17,38852,411
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-2C,32,145,30,35107,520,17,39050,411
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-3C,33,145,30,35107,520,17,39248,411
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-3D,43,215,30,35107,520,17,39248,415
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-2D,42,215,30,35107,520,17,39050,415
LTE,CMI0641,18.66601,98.87009,L23-CMI0641-1D,41,215,30,35107,520,17,38852,415
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-1A,11,20,30,35102,520,17,38852,339
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-3A,13,20,30,35102,520,17,39248,339
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-2A,12,20,30,35102,520,17,39050,339
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-2B,22,95,30,35102,520,17,39050,101
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-3B,23,95,30,35102,520,17,39248,101
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-1B,21,95,30,35102,520,17,38852,101
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-1C,31,200,30,35102,520,17,38852,343
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-3C,33,200,30,35102,520,17,39248,343
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-2C,32,200,30,35102,520,17,39050,343
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-2D,42,260,30,35102,520,17,39050,344
LTE,CMI0667,18.63131,98.89677,L23-CMI0667-3D,43,260,30,35102,520,17,39248,344
